source_name,article_count,unique_authors
Naturalnews.com,26,10
Scientific American,20,16
Nature.com,19,19
Science Daily,18,1
mindbodygreen.com,18,11
Die Zeit,12,4
Yahoo Entertainment,11,5
Okdiario.com,9,2
Olhardigital.com.br,7,4
Terra.com.br,7,7
Faz.net,7,5
tagesschau.de,7,5
Alltoc.com,7,1
Xataka.com,7,2
Trendencias.com,6,3
New Scientist,6,5
CHIP Online Deutschland,5,3
Abril.com.br,5,4
NPR,5,2
The Indian Express,5,4
Observador.pt,4,1
Business Insider,4,4
Lifesciencesworld.com,4,2
El Mundo,4,3
Directoalpaladar.com,4,3
Eatingwell.com,3,3
Vox,3,2
Prevention.com,3,3
Parade,2,1
Mayo Clinic,2,1
Boredpanda.com,2,1
Spring.org.uk,2,2
ABC News (AU),2,1
Futurity: Research News,2,2
Mayo Clinic Staff,2,1
CBS News,2,2
Twistedsifter.com,2,2
BBC News,2,1
Gizmodo.com,2,2
Lenta,2,2
Www.abc.es,1,1
Zoomit.ir,1,1
WebMD,1,1
ScienceAlert,1,1
TechRadar,1,1
TMZ,1,1
Technews.tw,1,1
Telepolis.de,1,1
Www.vg.no,1,1
The Atlantic,1,1
The New Republic,1,1
Rolling Stone,1,1
The Verge,1,1
The New Yorker,1,1
1pezeshk.com,1,1
RT,1,1
Psychology Today,1,1
Abcnews.com,1,1
Android Authority,1,1
BBC Health,1,1
Buzzfeed,1,1
CNA,1,1
CNET,1,1
Deadline,1,1
Delish.com,1,1
Deseret News,1,1
Expansion.com,1,1
Habr.com,1,1
Healthline,1,1
Huffingtonpost.es,1,1
Hurriyet.com.tr,1,1
Insoonia.com,1,1
Lesswrong.com,1,1
MIT Technology Review,1,1
Martha Stewart,1,1
Mental Floss,1,1
Metal Injection.net,1,1
N-tv.de,1,1
NBC News,1,1
Neatorama.com,1,1
Moby.co,1,1
